,precision,recall,f1-score,support
Cotton___Aphids,0.9032258064516129,0.9074074074074074,0.9053117782909931,216.0
Cotton___Army_worm,0.9901477832512315,0.9305555555555556,0.9594272076372315,216.0
Cotton___Bacterial_Blight,0.927461139896373,0.8287037037037037,0.8753056234718827,216.0
Cotton___Healthy,0.9251101321585903,0.9722222222222222,0.9480812641083521,216.0
Cotton___Powdery_Mildew,0.9403669724770642,0.9490740740740741,0.9447004608294931,216.0
Cotton___Target_spot,0.8638297872340426,0.9398148148148148,0.9002217294900222,216.0
Groundnut___early_leaf_spot,0.8018867924528302,0.6390977443609023,0.7112970711297071,133.0
Groundnut___healthy leaf,0.7756410256410257,0.8642857142857143,0.8175675675675675,140.0
Groundnut___late leaf spot,0.9578947368421052,0.875,0.914572864321608,104.0
Groundnut___nutrition deficiency,0.7213114754098361,0.88,0.7927927927927928,50.0
Groundnut___rust,0.6444444444444445,0.8529411764705882,0.7341772151898734,34.0
Maize___Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8235294117647058,0.9090909090909091,0.8641975308641975,77.0
Maize___Corn_(maize)___Common_rust_,0.9944444444444445,1.0,0.9972144846796658,179.0
Maize___Corn_(maize)___Northern_Leaf_Blight,0.9236111111111112,0.8986486486486487,0.910958904109589,148.0
Maize___Corn_(maize)___healthy,0.9943181818181818,1.0,0.9971509971509972,175.0
Onion___Alternaria_D,0.6848484848484848,0.904,0.7793103448275862,125.0
Onion___Botrytis Leaf Blight,0.5362318840579711,0.8409090909090909,0.6548672566371682,44.0
Onion___Bulb_blight-D,0.9523809523809523,1.0,0.975609756097561,60.0
Onion___Caterpillar-P,0.9956140350877193,0.9700854700854701,0.9826839826839827,234.0
Onion___Downy mildew,0.5454545454545454,1.0,0.7058823529411765,6.0
Onion___Fusarium-D,0.8532608695652174,0.8177083333333334,0.8351063829787234,192.0
Onion___Healthy leaves,0.9229074889867841,0.812015503875969,0.8639175257731959,516.0
Onion___Iris yellow virus_augment,0.7837837837837838,0.8140350877192982,0.7986230636833046,285.0
Onion___Purple blotch,0.875968992248062,0.8828125,0.8793774319066148,128.0
Onion___Rust,0.7142857142857143,0.78125,0.746268656716418,32.0
Onion___Virosis-D,0.9866666666666667,0.961038961038961,0.9736842105263158,77.0
Onion___Xanthomonas Leaf Blight,0.8076923076923077,0.7241379310344828,0.7636363636363637,29.0
Onion___onion1,1.0,1.0,1.0,20.0
Onion___stemphylium Leaf Blight,0.7619047619047619,0.7966804979253111,0.7789046653144016,241.0
Potato___Potato___Early_blight,0.9612903225806452,0.9933333333333333,0.9770491803278688,150.0
Potato___Potato___Late_blight,0.9337748344370861,0.94,0.9368770764119602,150.0
Potato___Potato___healthy,0.92,1.0,0.9583333333333334,23.0
Tomato___Tomato___Bacterial_spot,0.962457337883959,0.88125,0.9200652528548124,320.0
Tomato___Tomato___Early_blight,0.9357798165137615,0.68,0.7876447876447876,150.0
Tomato___Tomato___Late_blight,0.9100346020761245,0.9163763066202091,0.9131944444444444,287.0
Tomato___Tomato___Leaf_Mold,0.9183673469387755,0.9440559440559441,0.9310344827586207,143.0
Tomato___Tomato___Septoria_leaf_spot,0.8456375838926175,0.9473684210526315,0.8936170212765957,266.0
Tomato___Tomato___Spider_mites Two-spotted_spider_mite,0.8028673835125448,0.8888888888888888,0.8436911487758946,252.0
Tomato___Tomato___Target_Spot,0.7374517374517374,0.9052132701421801,0.8127659574468085,211.0
Tomato___Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9241293532338308,0.9605688429217841,804.0
Tomato___Tomato___Tomato_mosaic_virus,0.9649122807017544,0.9821428571428571,0.9734513274336283,56.0
Tomato___Tomato___healthy,0.944,0.9874476987447699,0.9652351738241309,239.0
Wheat___Aphid,0.6845637583892618,0.75,0.7157894736842105,136.0
Wheat___Black Rust,0.5038759689922481,0.7471264367816092,0.6018518518518519,87.0
Wheat___Blast,0.7054263565891473,0.9285714285714286,0.801762114537445,98.0
Wheat___Brown Rust,0.8554216867469879,0.743455497382199,0.7955182072829131,191.0
Wheat___Common Root Rot,0.7526881720430108,0.7526881720430108,0.7526881720430108,93.0
Wheat___Fusarium Head Blight,0.7788461538461539,0.8804347826086957,0.826530612244898,92.0
Wheat___Healthy,0.7093596059113301,0.96,0.8158640226628895,150.0
Wheat___Leaf Blight,0.6619718309859155,0.3700787401574803,0.47474747474747475,127.0
Wheat___Mildew,0.9354838709677419,0.7116564417177914,0.8083623693379791,163.0
Wheat___Mite,0.77,0.6416666666666667,0.7,120.0
Wheat___Smut,0.9102564102564102,0.7208121827411168,0.8045325779036827,197.0
Wheat___Stem fly,0.6530612244897959,0.8888888888888888,0.7529411764705882,36.0
Wheat___Tan spot,0.3482142857142857,0.33620689655172414,0.34210526315789475,116.0
Wheat___Yellow Rust,0.9705882352941176,0.8418367346938775,0.9016393442622951,196.0
Wheat___septoria,0.7560975609756098,0.8378378378378378,0.7948717948717948,185.0
accuracy,0.8630780732671153,0.8630780732671153,0.8630780732671153,0.8630780732671153
macro avg,0.8322921420973964,0.8570698618669021,0.8381330170152699,9363.0
weighted avg,0.8715579083275515,0.8630780732671153,0.8632090981641393,9363.0
